id,name,domain,website,industry,segmento,country,state,city,num_associated_contacts,num_associated_deals,lifecyclestage,sources
33580691352,Agencia B3 ( MSD ),msd.com.br,https://www.msd.com.br,,Indústria,,,,1,1,,name-agencia
33784267348,Agência b9b,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33656088128,Agência Base3,base3.com.br,base3.com.br,,Mídia e Conteúdo,,,,2,1,,name-agencia
52831953048,Agência Batuca,agenciabatuca.com.br,agenciabatuca.com.br,,Mídia e Conteúdo,,,,5,4,1246600764,name-agencia
33752233372,Agência BBDA,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33759813807,Agencia BE Comunica,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33084963420,Agência Befoür,agenciabefour.com.br,agenciabefour.com.br,,Mídia e Conteúdo,,,,5,1,1062353184,name-agencia
33750739735,Agência Befour (Danone),,,,Mídia e Conteúdo,,,,1,2,,name-agencia
33788451733,Agencia Befour/Oficina,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
37220598631,Agência Bestuur,agenciabestuur.com.br,agenciabestuur.com.br,,,,,,1,1,,name-agencia
39582569242,Agência Beyondcomm,beyondcomm.com.br,beyondcomm.com.br,,Mídia e Conteúdo,,,,2,2,,name-agencia
52944698486,Agencia Bip Marketing,,,,,,,,1,1,1246600764,name-agencia|name-mkt
38286129004,Agência Boin Eventos,www.boineventos.com.br,www.boineventos.com.br,,Serviços Administrativos,,,,1,10,,name-agencia
33586034499,Agência Boreau,,,,Mídia e Conteúdo,,,,2,1,,name-agencia
33749655854,Agência Boutique 08,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33757800962,Agência Brave,,,,,,,,1,1,,name-agencia
39585657918,Agência Buzzina,agenciabuzzina.com,agenciabuzzina.com,,,,,,1,3,,name-agencia
33759813775,Agencia C8mkt,,,,,,,,1,1,,name-agencia
33085578316,Agência Cacau,cacau.co,cacau.co,,Mídia e Conteúdo,,,,3,1,,name-agencia
33660614943,Agência cake,agenciacake.com,agenciacake.com,,Mídia e Conteúdo,,,,2,1,,name-agencia
33084190722,Agência Canopus,agenciacanopus.com.br,agenciacanopus.com.br,,Serviços Administrativos,,,,1,2,,name-agencia
33055723025,Agência Capella,agenciacapella.com.br,https://www2.oabrs.org.br/home,,Serviços Profissionais,,,,2,3,1246600764,name-agencia
33942035808,Agência Cartola,,,,,,,,1,3,,name-agencia
36236352652,Agência CIA,ciadacriacao.com.br,ciadacriacao.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
33666927129,Agência CIME,agenciacime.com.br,agenciacime.com.br,,,,,,1,,,name-agencia
33591953684,Agência Cítara,agenciacitara.com.br,agenciacitara.com.br,,,,,,1,,,name-agencia
37565699687,Agência CMLab,agenciacmlab.com.br,agenciacmlab.com.br,,Tecnologia e Comunicação,,,,1,,,name-agencia
36625396641,Agência Co.crie,agenciacocrie.com.br,agenciacocrie.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
39584265794,Agência ComPH,agenciacomph.com.br,agenciacomph.com.br,BROADCAST_MEDIA,Mídia e Conteúdo,Brazil,,,1,1,,name-agencia
54896565856,Agência Conception Américas,conception.com.br,conception.com.br,,Serviços Administrativos,,,,8,8,1246600764,name-agencia
33664485257,Agencia Conexao,agenciaconexao.com,agenciaconexao.com,,Serviços Profissionais,,,,1,,,name-agencia
33790465101,Agência Confetti,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33761803932,Agência Confraria,,,,,,,,1,1,,name-agencia
33071188272,Agência Conkreta,conkreta.com.br,conkreta.com.br,,,,,,3,4,,name-agencia
33595442287,Agência Convoy,agenciaconvoy.com.br,agenciaconvoy.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
33794288960,Agência CZ,,,,Mídia e Conteúdo,,,,1,2,,name-agencia
33669833104,Agência D3M,agenciad3m.com.br,agenciad3m.com.br,,Mídia e Conteúdo,,,,2,1,,name-agencia
52982689370,Agência Dagaz,ampliaplataforma.com.br,https://ampliaplataforma.com.br/,,Educação,,,,8,15,customer,name-agencia
36565377299,Agencia de Atletas,agenciadeatletas.com,agenciadeatletas.com,,,,,,1,,,name-agencia
33083879581,Agência de Atletas,agenciadeatletas.com.br,agenciadeatletas.com.br,,Mídia e Conteúdo,,,,6,,,name-agencia
39829543686,Agência de Bolso,agenciadebolso.com,agenciadebolso.com,MARKETING_AND_ADVERTISING,Mídia e Conteúdo,Spain,Catalunya,Barcelona,1,,,industry|name-agencia
39585039234,Agencia De Desenvolvimento De Conselheiro Lafaiete - Adecol,adecol.org.br,adecol.org.br,,,Brazil,,,1,1,,name-agencia
35056328862,Agencia de Eventos,,,,Serviços Administrativos,,,,1,15,,name-agencia
33659840774,AGÊNCIA DE INTELIGÊNCIA,agenciadeinteligencia.org,agenciadeinteligencia.org,,Serviços Profissionais,,,,1,,,name-agencia
33792517893,Agência de Marketing 360,,,,Mídia e Conteúdo,,,,1,2,1062353184,name-agencia|name-mkt
40166566840,Agência de Marketing Digital especialista em Inbound Marketing,organicadigital.com,organicadigital.com,MARKETING_AND_ADVERTISING,Mídia e Conteúdo,Brazil,Rio Grande do Sul,,1,,,industry|name-agencia|name-mkt
41632011314,Agência de Palestrantes,,,,Serviços Profissionais,,,,1,,,name-agencia
33080246024,Agência de Publicidade e Propaganda,agenciacz.com,agenciacz.com,,Mídia e Conteúdo,,,,1,,,name-agencia|name-mkt
33588557969,Agência de turismo promotional travel ,,,,Alimentação e Hospitalidade,,,,1,1,,name-agencia
35674600004,Agencia Delphos,agenciadelphos.com.br,agenciadelphos.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
33759813791,Agencia Desafio,,,,,,,,1,,,name-agencia
33500953395,Agência Desafio,desafio.com.br,desafio.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
39583496339,Agência DF,agenciadf.com.br,agenciadf.com.br,,,,,,1,,,name-agencia
33081175325,Agencia DGC,agenciadgc.com.br,agenciadgc.com.br,,Mídia e Conteúdo,,,,2,1,1246600764,name-agencia
34077468984,Agência Diferencial,,https://www.unicred.com.br/,,,,,,3,7,,name-agencia
33802282562,Agência DMC,,,,,,,,1,1,,name-agencia
33765675390,Agência do óleo,,,,,,,,1,1,,name-agencia
39586277173,Agência Domênica,agdomenica.com.br,agdomenica.com.br,MANAGEMENT_CONSULTING,Mídia e Conteúdo,Brazil,,,1,1,,name-agencia
52874407062,Agência Duza,agenciaduza.com.br,agenciaduza.com.br,,,,,,1,,1062353184,name-agencia
39183861331,Agência e Produtora Utopc,utopc.com.br,utopc.com.br,,Mídia e Conteúdo,Brazil,,,1,,,name-agencia
33492096011,Agência E-POPEH,agenciaepopeh.com.br,agenciaepopeh.com.br,,Serviços Administrativos,,,,1,,,name-agencia
54968048432,Agência EA,agenciaea.com,agenciaea.com,,Mídia e Conteúdo,,,,6,4,1246600764,name-agencia
33599167541,Agência Eagle,,,,Mídia e Conteúdo,,,,5,3,,name-agencia
39581135720,Agência Eba,agenciaeba.com.br,agenciaeba.com.br,,,,,,1,1,,name-agencia
39587362175,Agência Ecomunica,agenciaecomunica.com.br,agenciaecomunica.com.br,PUBLIC_RELATIONS_AND_COMMUNICATIONS,Mídia e Conteúdo,Brazil,Sao Paulo,,1,1,,name-agencia
33791993388,agência Ed Mendes Soluções Criativas,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33055880617,Agência eh,agenciaeh.com.br,https://banco.bradesco/html/classic/index.shtm,,Financeiro,,,,1,1,,name-agencia
37897089859,Agencia Emotion,agenciaemotion.com.br,agenciaemotion.com.br,,,,,,3,4,1246600764,name-agencia
33654038553,Agência Engajar,agenciaengajar.com.br,agenciaengajar.com.br,,Varejo e Comércio,,,,1,,,name-agencia
42102400603,Agência Enso,agenciaenso.com,agenciaenso.com,MARKETING_AND_ADVERTISING,,Brazil,Sao Paulo,Belenzinho,1,1,,industry|name-agencia
39020010344,Agência Eplan,agenciaeplan.com,agenciaeplan.com,,Mídia e Conteúdo,,,,1,,,name-agencia
33049839180,Agência Esfera,agenciaesfera.com.br,agenciaesfera.com.br,,Serviços Administrativos,,,,9,12,1246600764,name-agencia
33669192011,Agência Espacial Brasileira,aeb.gov.br,aeb.gov.br,,,,,,1,,,name-agencia
33803203479,Agência Estadual de Vigilância Sanitária,,,,Saúde,,,,1,1,,name-agencia
33597141936,Agência ETC&Tal,go.sigga.com.br,https://go.sigga.com.br/siggaxperience2023,,Serviços Profissionais,,,,1,2,1246600764,name-agencia
33765983867,Agência Eventesse,,,,,,,,1,1,,name-agencia
33492097115,Agência EVERY,every.is,every.is,,Mídia e Conteúdo,,,,1,1,,name-agencia
39593012047,Agência Exemplo,exemploeventos.com.br,exemploeventos.com.br,,,,,,3,3,,name-agencia
33795724879,Agência Exodo,,,,,,,,1,1,,name-agencia
33657690548,Agência Explorer,agenciaexplorer.com.br,agenciaexplorer.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
36785418031,Agência Fizz,agenciafizz.com.br,https://www.agenciafizz.com.br/home,,Mídia e Conteúdo,,,,2,5,,name-agencia
52578439936,Agencia Flagship,agenciaflagship.com.br,agenciaflagship.com.br,CONSUMER_SERVICES,Serviços Administrativos,Brazil,,,2,1,1246600764,name-agencia
53028157304,Agência Folhetim,folhetim.marketing,folhetim.marketing,,,,,,1,,subscriber,name-agencia|domain-mkt
37394913973,Agência Follow,agenciafollowme.com.br,agenciafollowme.com.br,,Mídia e Conteúdo,,,,1,,1062353184,name-agencia
35881642015,Agência Foster,foster.com.br,foster.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
33662318702,Agência FR,agenciafr.com.br,agenciafr.com.br,,Mídia e Conteúdo,,,,2,1,,name-agencia
33668573601,Agência Fresh,agenciafresh.com.br,agenciafresh.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33803203513,Agência Friday,,,,,,,,1,1,,name-agencia
33500644609,Agência Fuego,agenciafuego.com,agenciafuego.com,,,,,,4,3,,name-agencia
33514815289,Agência Fun,agenciafun.com,agenciafun.com,,Mídia e Conteúdo,,,,1,1,,name-agencia
33509158429,Agência Gaia,agenciagaia.com.br,agenciagaia.com.br,,,,,,3,2,,name-agencia
39592083616,Agência GDA,agenciagda.com,agenciagda.com,,Educação,,,,1,2,,name-agencia
33515425333,Agência Gigante,agenciagigante.com.br,agenciagigante.com.br,,Mídia e Conteúdo,,,,3,3,,name-agencia
33774287163,Agência Glas,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
54223212128,Agência Global,global.tt,global.tt,MARKETING_AND_ADVERTISING,,,Rio Grande do Sul,Porto Alegre,1,,subscriber,industry|name-agencia
34033745948,Agência Globalis,,,,,,,,1,2,,name-agencia
33500644098,Agência Glue,agenciaglue.com,agenciaglue.com,,Serviços Administrativos,,,,1,1,1246600764,name-agencia
33670760759,Agência Guanabara,agenciaguanabara.com.br,agenciaguanabara.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33788761900,Agência Gude,,,,Mídia e Conteúdo,,,,1,2,1246600764,name-agencia
33082565159,Agência Guia Eventos,guia-eventos.com,guia-eventos.com,,Serviços Administrativos,,,,6,1,1062353184,name-agencia
33673847595,Agência GV,agenciagv.ppg.br,agenciagv.ppg.br,,,,,,1,,,name-agencia
39586277193,Agência GV8,gv8.com.br,gv8.com.br,,Tecnologia e Comunicação,Brazil,Sao Paulo,,1,1,,name-agencia
33668109602,Agência Hands Perform Marketing Digital e Eventos,handsperform.com.br,handsperform.com.br,,Mídia e Conteúdo,,,,2,,,name-agencia|name-mkt
33670760745,Agencia HandsOn,agenciahandson.com.br,agenciahandson.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33942251589,Agência Happy House,,,,,,,,1,3,1062353184,name-agencia
37577122149,Agencia Hb,agenciahb.com,agenciahb.com,,,,,,1,,,name-agencia
33580072223,Agência HCL Produções,,-,,,,,,1,1,,name-agencia
33762733700,Agência Hiro,,,,,,,,1,1,,name-agencia
33760897601,Agência hoa,,,,,,,,1,1,,name-agencia
33501695565,Agência Hurra,hurra.com.br,hurra.com.br,,Mídia e Conteúdo,,,,1,2,,name-agencia
39594094892,Agência Iberika,iberika.com.br,iberika.com.br,MARKETING_AND_ADVERTISING,Mídia e Conteúdo,Brazil,Sao Paulo,,1,1,,industry|name-agencia
38685681493,Agência ideias,,,,,,,,1,1,,name-agencia
33670296453,Agência iiman,iiman.com.br,iiman.com.br,,Mídia e Conteúdo,,,,6,,,name-agencia
38833831511,Agencia Imã,,,,,,,,1,1,,name-agencia
38761949308,agência IMM,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33803203501,Agência Incentivare,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33056034175,Agência Incomum - Comunicação Estratégica,incomum.in,incomum.in,,Mídia e Conteúdo,,,,1,,,name-agencia|name-mkt
33052163152,Agência InHaus,agenciainhaus.com.br,agenciainhaus.com.br,,Mídia e Conteúdo,,,,1,1,,name-agencia
33662008914,Agência Intelecto,agenciaintelecto.com.br,agenciaintelecto.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
34494333313,Agência io,,,,Mídia e Conteúdo,,,,1,3,,name-agencia
33501851138,Agência io!,agenciaio.com.br,agenciaio.com.br,,Mídia e Conteúdo,,,,2,1,,name-agencia
33802282533,Agencia Ivoire,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
